head	relation_type	term	term_key	zh_or_note	raw
sudden	kin	onset	onset	n. 开始；发作	onset | n. 开始；发作 | sudden onset / onset of winter | 突然发作；冬天来临
accommodate	family	accommodation	accommodation	n. 住宿；调适	accommodation | n. 住宿；调适 | student accommodation | 学生住宿
accommodate	family	accommodating	accommodating	adj. 乐于配合的	accommodating | adj. 乐于配合的 | accommodating policy | 灵活政策
accommodate	family	accommodated	accommodated	adj. 被容纳的	accommodated | adj. 被容纳的 | accommodated residents | 被安置居民
accommodate	kin	mode	mode	n. 模式；方式	mode | n. 模式；方式 | learning mode / transport mode | 学习模式；交通方式
accommodate	kin	commodity	commodity	n. 商品；大宗商品	commodity | n. 商品；大宗商品 | commodity prices / agricultural commodity | 商品价格；农产品商品
accommodate	kin	modular	modular	adj. 模块化的	modular | adj. 模块化的 | modular design / modular housing | 模块化设计；模块化住房
adapt	family	adaptation	adaptation	n. 适应；改编	adaptation | n. 适应；改编 | climate adaptation | 气候适应
adapt	family	adaptive	adaptive	adj. 适应性的	adaptive | adj. 适应性的 | adaptive learning | 适应性学习
adapt	family	adapted	adapted	adj. 改编的；适应的	adapted | adj. 改编的；适应的 | adapted curriculum | 改编课程
adapt	kin	apt	apt	adj. 易于；恰当的	apt | adj. 易于；恰当的 | apt example / apt to change | 恰当例子；易于变化
adapt	kin	adopt	adopt	v. 采纳；收养	adopt | v. 采纳；收养 | adopt a policy / adopt a child | 采纳政策；收养孩子
adapt	kin	adept	adept	adj. 熟练的	adept | adj. 熟练的 | adept at coding / adept negotiator | 擅长写代码；熟练谈判者
accomplish	family	accomplishment	accomplishment	n. 成就	accomplishment | n. 成就 | major accomplishment | 重大成就
accomplish	family	accomplished	accomplished	adj. 熟练的；有成就的	accomplished | adj. 熟练的；有成就的 | accomplished researcher | 有成就的研究者
accomplish	family	accomplishable	accomplishable	adj. 可完成的	accomplishable | adj. 可完成的 | accomplishable task | 可完成任务
accomplish	kin	complete	complete	v./adj. 完成；完整的	complete | v./adj. 完成；完整的 | complete a project / complete data | 完成项目；完整数据
accomplish	kin	comply	comply	v. 遵守	comply | v. 遵守 | comply with regulations / comply with safety standards | 遵守规定；遵守安全标准
accomplish	kin	complex	complex	adj. 复杂的	complex | adj. 复杂的 | complex system / complex sentence | 复杂系统；复杂句
achieve	family	achievement	achievement	n. 成就	achievement | n. 成就 | academic achievement | 学业成就
achieve	family	achievable	achievable	adj. 可实现的	achievable | adj. 可实现的 | achievable goal | 可实现目标
achieve	family	achieved	achieved	adj. 已实现的	achieved | adj. 已实现的 | achieved target | 已实现目标
achieve	kin	chief	chief	adj./n. 主要的；首领	chief | adj./n. 主要的；首领 | chief concern / chief executive | 主要担忧；首席执行官
achieve	kin	archive	archive	n./v. 档案；归档	archive | n./v. 档案；归档 | digital archive / archive records | 数字档案；归档记录
achieve	kin	achievement	achievement	n. 成就	achievement | n. 成就 | academic achievement / technological achievement | 学业成就；技术成就
accumulate	family	accumulation	accumulation	n. 积累	accumulation | n. 积累 | accumulation of debt | 债务积累
accumulate	family	accumulated	accumulated	adj. 积累的	accumulated | adj. 积累的 | accumulated evidence | 累积证据
accumulate	family	cumulative	cumulative	adj. 累积的	cumulative | adj. 累积的 | cumulative effect | 累积效应
accumulate	kin	cumulative	cumulative	adj. 累积的	cumulative | adj. 累积的 | cumulative effect / cumulative learning | 累积效应；累积学习
accumulate	kin	cumulus	cumulus	n. 积云	cumulus | n. 积云 | cumulus cloud / low cumulus | 积云；低积云
accumulate	kin	cumulate	cumulate	v. 累积	cumulate | v. 累积 | cumulate advantages / cumulate small gains | 累积优势；累积小收益
amass	family	amassed	amassed	adj. 被积累的	amassed | adj. 被积累的 | amassed evidence | 累积证据
amass	family	amassing	amassing	n. 积累	amassing | n. 积累 | amassing wealth | 积累财富
amass	family	mass	mass	n. 大量；质量	mass | n. 大量；质量 | mass consumption | 大规模消费
amass	kin	mass	mass	n. 大量；质量	mass | n. 大量；质量 | mass migration / body mass | 大规模迁移；体重
amass	kin	massive	massive	adj. 巨大的	massive | adj. 巨大的 | massive investment / massive star | 巨额投资；大质量恒星
amass	kin	massacre	massacre	n./v. 大屠杀	massacre | n./v. 大屠杀 | historical massacre / massacre civilians | 历史屠杀；屠杀平民
acquire	family	acquisition	acquisition	n. 获得；习得	acquisition | n. 获得；习得 | language acquisition | 语言习得
acquire	family	acquired	acquired	adj. 后天获得的	acquired | adj. 后天获得的 | acquired skill | 后天技能
acquire	family	acquisitive	acquisitive	adj. 渴求获得的	acquisitive | adj. 渴求获得的 | acquisitive habit | 贪得习惯
acquire	kin	inquire	inquire	v. 询问；调查	inquire | v. 询问；调查 | inquire about admission / inquire into the causes | 询问入学事宜；调查原因
acquire	kin	require	require	v. 需要；要求	require | v. 需要；要求 | require further evidence / require students to participate | 需要更多证据；要求学生参与
acquire	kin	quest	quest	n. 追求；探索	quest | n. 追求；探索 | a quest for knowledge / the quest for equality | 求知之旅；追求平等
obtain	family	obtained	obtained	adj. 已获得的	obtained | adj. 已获得的 | obtained data | 已获得数据
obtain	family	obtainable	obtainable	adj. 可获得的	obtainable | adj. 可获得的 | obtainable evidence | 可获得证据
obtain	family	obtaining	obtaining	n. 获得	obtaining | n. 获得 | obtaining permission | 获得许可
obtain	kin	contain	contain	v. 包含；控制	contain | v. 包含；控制 | contain risks / contain information | 控制风险；包含信息
obtain	kin	maintain	maintain	v. 维持；维护	maintain | v. 维持；维护 | maintain order / maintain equipment | 维持秩序；维护设备
obtain	kin	retain	retain	v. 保留；保持	retain | v. 保留；保持 | retain talent / retain information | 留住人才；记住信息
adaptable	family	adaptability	adaptability	n. 适应能力	adaptability | n. 适应能力 | workplace adaptability | 职场适应能力
adaptable	family	adaptably	adaptably	adv. 灵活地	adaptably | adv. 灵活地 | adaptably respond | 灵活应对
adaptable	family	adapted	adapted	adj. 适应的	adapted | adj. 适应的 | adapted system | 适应后的系统
adaptable	kin	apt	apt	adj. 易于；恰当的	apt | adj. 易于；恰当的 | apt description / apt to forget | 恰当描述；容易忘记
adaptable	kin	adoptable	adoptable	adj. 可采纳的；可收养的	adoptable | adj. 可采纳的；可收养的 | adoptable method / adoptable child | 可采纳方法；可收养儿童
adaptable	kin	adept	adept	adj. 熟练的	adept | adj. 熟练的 | adept learners / adept at adaptation | 熟练学习者；擅长适应
versatile	family	versatility	versatility	n. 多功能性	versatility | n. 多功能性 | technological versatility | 技术多功能性
versatile	family	versatilely	versatilely	adv. 灵活地	versatilely | adv. 灵活地 | work versatilely | 灵活工作
versatile	kin	verse	verse	n. 诗句	verse | n. 诗句 | free verse / verse translation | 自由诗；诗歌翻译
versatile	kin	reverse	reverse	v./adj. 逆转；相反的	reverse | v./adj. 逆转；相反的 | reverse a decision / reverse order | 推翻决定；相反顺序
versatile	kin	universe	universe	n. 宇宙	universe | n. 宇宙 | observable universe / fictional universe | 可观测宇宙；虚构宇宙
adjacent	family	adjacency	adjacency	n. 邻近	adjacency | n. 邻近 | spatial adjacency | 空间邻近
adjacent	family	adjacently	adjacently	adv. 邻近地	adjacently | adv. 邻近地 | adjacently located | 邻近分布
adjacent	family	adjacent-side	adjacent-side	adj. 相邻边的	adjacent-side | adj. 相邻边的 | adjacent-side entrance | 相邻侧入口
adjacent	kin	subjacent	subjacent	adj. 在下方的	subjacent | adj. 在下方的 | subjacent rock layers / subjacent tissue | 下伏岩层；下层组织
adjacent	kin	eject	eject	v. 喷出；驱逐	eject | v. 喷出；驱逐 | eject hot ash / eject a passenger | 喷出热灰；驱逐乘客
adjacent	kin	inject	inject	v. 注入	inject | v. 注入 | inject funds into schools / inject a vaccine | 向学校注入资金；注射疫苗
neighboring	family	neighbor	neighbor	n. 邻居；邻国	neighbor | n. 邻居；邻国 | friendly neighbor | 友好邻国
neighboring	family	neighborhood	neighborhood	n. 社区	neighborhood | n. 社区 | neighborhood services | 社区服务
neighboring	family	neighborly	neighborly	adj. 友邻的	neighborly | adj. 友邻的 | neighborly cooperation | 友邻合作
neighboring	kin	neighbor	neighbor	n. 邻居；邻近者	neighbor | n. 邻居；邻近者 | next-door neighbor / neighboring country | 隔壁邻居；邻国
neighboring	kin	neighborhood	neighborhood	n. 街区；邻里	neighborhood | n. 街区；邻里 | urban neighborhood / safe neighborhood | 城市社区；安全街区
neighboring	kin	nigh	nigh	adj./adv. 近的；接近	nigh | adj./adv. 近的；接近 | nigh impossible / the end is nigh | 几乎不可能；末日将近
adjust	family	adjustment	adjustment	n. 调整	adjustment | n. 调整 | policy adjustment | 政策调整
adjust	family	adjustable	adjustable	adj. 可调整的	adjustable | adj. 可调整的 | adjustable schedule | 可调整日程
adjust	family	adjusted	adjusted	adj. 调整后的	adjusted | adj. 调整后的 | adjusted price | 调整后价格
adjust	kin	justice	justice	n. 正义；司法	justice | n. 正义；司法 | social justice / criminal justice system | 社会正义；刑事司法系统
adjust	kin	justify	justify	v. 证明合理；辩护	justify | v. 证明合理；辩护 | justify public spending / justify strict rules | 证明公共支出合理；为严格规则辩护
adjust	kin	injury	injury	n. 伤害	injury | n. 伤害 | workplace injury / serious injury | 工伤；严重伤害
modify	family	modification	modification	n. 修改	modification | n. 修改 | policy modification | 政策修改
modify	family	modified	modified	adj. 被修改的	modified | adj. 被修改的 | modified rule | 修改后的规则
modify	family	modifiable	modifiable	adj. 可修改的	modifiable | adj. 可修改的 | modifiable factor | 可改变因素
modify	kin	mode	mode	n. 模式；方式	mode | n. 模式；方式 | study mode / operation mode | 学习模式；运作模式
modify	kin	model	model	n./v. 模型；建模	model | n./v. 模型；建模 | economic model / model behavior | 经济模型；模仿行为
modify	kin	modular	modular	adj. 模块化的	modular | adj. 模块化的 | modular design / modular housing | 模块化设计；模块化住房
administer	family	administration	administration	n. 管理；行政	administration | n. 管理；行政 | public administration | 公共管理
administer	family	administrative	administrative	adj. 行政的	administrative | adj. 行政的 | administrative cost | 行政成本
administer	family	administrator	administrator	n. 管理者	administrator | n. 管理者 | school administrator | 学校管理者
administer	kin	minister	minister	n. 部长；牧师	minister | n. 部长；牧师 | the health minister / a cabinet minister | 卫生部长；内阁部长
administer	kin	ministry	ministry	n. 部；部门	ministry | n. 部；部门 | the Ministry of Education / a government ministry | 教育部；政府部门
administer	kin	minor	minor	adj./n. 较小的；未成年人	minor | adj./n. 较小的；未成年人 | minor changes / protect minors online | 小改动；保护未成年人上网
enforce	family	enforcement	enforcement	n. 执行	enforcement | n. 执行 | law enforcement | 执法
enforce	family	enforced	enforced	adj. 被执行的	enforced | adj. 被执行的 | enforced standard | 被执行的标准
enforce	family	enforceable	enforceable	adj. 可执行的	enforceable | adj. 可执行的 | enforceable rule | 可执行规则
enforce	kin	force	force	n./v. 力；强迫	force | n./v. 力；强迫 | market force / force compliance | 市场力量；强制合规
enforce	kin	reinforce	reinforce	v. 加强	reinforce | v. 加强 | reinforce rules / reinforce memory | 加强规则；巩固记忆
enforce	kin	fortify	fortify	v. 加固；增强	fortify | v. 加固；增强 | fortify defenses / fortify food | 加固防御；强化食品营养
advocate	family	advocacy	advocacy	n. 倡导	advocacy | n. 倡导 | policy advocacy | 政策倡导
advocate	family	advocate	advocate	n. 倡导者	advocate | n. 倡导者 | environmental advocate | 环保倡导者
advocate	family	advocated	advocated	adj. 被倡导的	advocated | adj. 被倡导的 | advocated reform | 被倡导的改革
advocate	kin	vocation	vocation	n. 职业；使命感	vocation | n. 职业；使命感 | a teaching vocation / choose a vocation | 教师职业使命；选择职业
advocate	kin	invoke	invoke	v. 援引；调用	invoke | v. 援引；调用 | invoke legal rights / invoke a historical example | 援引法律权利；引用历史例子
advocate	kin	voice	voice	n./v. 声音；表达	voice | n./v. 声音；表达 | public voice / voice concerns | 公众声音；表达担忧
champion	family	championship	championship	n. 锦标赛；冠军称号	championship | n. 锦标赛；冠军称号 | world championship | 世界锦标赛
champion	family	championed	championed	adj. 被支持的	championed | adj. 被支持的 | championed reform | 被支持的改革
champion	family	championing	championing	n. 支持	championing | n. 支持 | championing equality | 支持平等
champion	kin	camp	camp	n./v. 营地；扎营	camp | n./v. 营地；扎营 | summer camp / camp outdoors | 夏令营；户外露营
champion	kin	campaign	campaign	n./v. 运动；竞选	campaign | n./v. 运动；竞选 | public campaign / campaign for reform | 公共运动；为改革活动
champion	kin	championship	championship	n. 锦标赛；冠军地位	championship | n. 锦标赛；冠军地位 | world championship / win a championship | 世界锦标赛；赢得冠军
aggravate	family	aggravation	aggravation	n. 加重；恶化	aggravation | n. 加重；恶化 | aggravation of symptoms | 症状加重
aggravate	family	aggravated	aggravated	adj. 加重的	aggravated | adj. 加重的 | aggravated pollution | 加重的污染
aggravate	family	aggravating	aggravating	adj. 加剧的	aggravating | adj. 加剧的 | aggravating factor | 加剧因素
aggravate	kin	grave	grave	adj./n. 严重的；坟墓	grave | adj./n. 严重的；坟墓 | grave concern / mass grave | 严重关切；万人坑
aggravate	kin	gravity	gravity	n. 重力；严重性	gravity | n. 重力；严重性 | gravity field / gravity of the issue | 重力场；问题的严重性
aggravate	kin	gravel	gravel	n. 砾石	gravel | n. 砾石 | gravel road / river gravel | 砾石路；河砾石
exacerbate	family	exacerbation	exacerbation	n. 加剧	exacerbation | n. 加剧 | exacerbation of inequality | 不平等加剧
exacerbate	family	exacerbated	exacerbated	adj. 加剧的	exacerbated | adj. 加剧的 | exacerbated poverty | 加剧的贫困
exacerbate	family	exacerbating	exacerbating	adj. 正在加剧的	exacerbating | adj. 正在加剧的 | exacerbating factor | 加剧因素
exacerbate	kin	acerbic	acerbic	adj. 尖刻的	acerbic | adj. 尖刻的 | acerbic criticism / acerbic tone | 尖刻批评；刻薄语气
exacerbate	kin	acidity	acidity	n. 酸度	acidity | n. 酸度 | soil acidity / stomach acidity | 土壤酸度；胃酸度
exacerbate	kin	acid	acid	n./adj. 酸；酸性的	acid | n./adj. 酸；酸性的 | acid rain / acid solution | 酸雨；酸性溶液
agreement	family	agree	agree	v. 同意	agree | v. 同意 | agree on policy | 就政策达成一致
agreement	family	agreed	agreed	adj. 已同意的	agreed | adj. 已同意的 | agreed terms | 已同意条款
agreement	family	agreeable	agreeable	adj. 令人愉快的；同意的	agreeable | adj. 令人愉快的；同意的 | agreeable solution | 可接受方案
agreement	kin	grade	grade	n./v. 等级；评分	grade | n./v. 等级；评分 | grade inflation / grade assignments | 分数膨胀；给作业评分
agreement	kin	gradual	gradual	adj. 逐渐的	gradual | adj. 逐渐的 | gradual improvement / gradual decline | 逐步改善；逐渐下降
agreement	kin	ingredient	ingredient	n. 成分；要素	ingredient | n. 成分；要素 | key ingredient / food ingredient | 关键要素；食品成分
consensus	family	consensual	consensual	adj. 双方同意的	consensual | adj. 双方同意的 | consensual agreement | 共识协议
consensus	family	consensus-building	consensus-building	n. 建立共识	consensus-building | n. 建立共识 | consensus-building process | 建立共识过程
consensus	kin	sense	sense	n. 感觉；意义	sense | n. 感觉；意义 | common sense / sense of identity | 常识；身份感
consensus	kin	sensory	sensory	adj. 感官的	sensory | adj. 感官的 | sensory input / sensory experience | 感官输入；感官体验
consensus	kin	consent	consent	n./v. 同意	consent | n./v. 同意 | informed consent / consent to treatment | 知情同意；同意治疗
align	family	alignment	alignment	n. 一致；对齐	alignment | n. 一致；对齐 | policy alignment | 政策一致
align	family	aligned	aligned	adj. 一致的	aligned | adj. 一致的 | aligned interests | 一致利益
align	family	aligning	aligning	n. 对齐；协调	aligning | n. 对齐；协调 | aligning resources | 协调资源
coordinate	family	coordination	coordination	n. 协调	coordination | n. 协调 | policy coordination | 政策协调
coordinate	family	coordinated	coordinated	adj. 协调的	coordinated | adj. 协调的 | coordinated action | 协调行动
coordinate	family	coordinator	coordinator	n. 协调者	coordinator | n. 协调者 | project coordinator | 项目协调者
coordinate	kin	ordinary	ordinary	adj. 普通的	ordinary | adj. 普通的 | ordinary people / ordinary language | 普通人；日常语言
coordinate	kin	order	order	n./v. 秩序；命令	order | n./v. 秩序；命令 | social order / order supplies | 社会秩序；订购物资
coordinate	kin	subordinate	subordinate	adj./n. 下级的；下属	subordinate | adj./n. 下级的；下属 | subordinate clause / subordinate employee | 从句；下属员工
alleviate	family	alleviation	alleviation	n. 缓解	alleviation | n. 缓解 | poverty alleviation | 扶贫
alleviate	family	alleviated	alleviated	adj. 被缓解的	alleviated | adj. 被缓解的 | alleviated pressure | 被缓解的压力
alleviate	family	alleviating	alleviating	adj. 缓解性的	alleviating | adj. 缓解性的 | alleviating measure | 缓解措施
alleviate	kin	levy	levy	n./v. 征税；征收	levy | n./v. 征税；征收 | levy taxes / carbon levy | 征税；碳税
alleviate	kin	lever	lever	n. 杠杆	lever | n. 杠杆 | policy lever / lever mechanism | 政策杠杆；杠杆机制
alleviate	kin	elevator	elevator	n. 电梯	elevator | n. 电梯 | office elevator / grain elevator | 办公楼电梯；谷仓升降机
mitigate	family	mitigation	mitigation	n. 缓解	mitigation | n. 缓解 | climate mitigation | 气候缓解
mitigate	family	mitigated	mitigated	adj. 被减轻的	mitigated | adj. 被减轻的 | mitigated risk | 被减轻的风险
mitigate	family	mitigating	mitigating	adj. 缓和的	mitigating | adj. 缓和的 | mitigating factor | 缓和因素
mitigate	kin	migrate	migrate	v. 迁移；移民	migrate | v. 迁移；移民 | migrate to cities / birds migrate | 迁往城市；鸟类迁徙
mitigate	kin	litigate	litigate	v. 诉讼	litigate | v. 诉讼 | litigate a dispute / litigate in court | 诉讼争端；上法庭打官司
allude	family	allusion	allusion	n. 暗指	allusion | n. 暗指 | literary allusion | 文学典故
allude	family	allusive	allusive	adj. 暗示的	allusive | adj. 暗示的 | allusive remark | 暗示性评论
allude	family	alluded	alluded	adj. 被暗指的	alluded | adj. 被暗指的 | alluded problem | 被暗指的问题
allude	kin	illusion	illusion	n. 幻觉；错觉	illusion | n. 幻觉；错觉 | an illusion of control / create an illusion | 控制错觉；制造幻觉
allude	kin	prelude	prelude	n. 前奏；序幕	prelude | n. 前奏；序幕 | a prelude to reform / musical prelude | 改革前奏；音乐前奏
allude	kin	ludic	ludic	adj. 游戏性的	ludic | adj. 游戏性的 | ludic learning / ludic design | 游戏化学习；游戏性设计
refer	family	reference	reference	n. 参考；提及	reference | n. 参考；提及 | reference data | 参考数据
refer	family	referred	referred	adj. 被提及的	referred | adj. 被提及的 | referred patient | 转诊患者
refer	family	referral	referral	n. 转诊；推荐	referral | n. 转诊；推荐 | medical referral | 医疗转诊
refer	kin	reference	reference	n. 参考；提及	reference | n. 参考；提及 | reference book / make reference to history | 参考书；提及历史
refer	kin	transfer	transfer	v. 转移；转让	transfer | v. 转移；转让 | transfer data / transfer ownership | 转移数据；转让所有权
refer	kin	ferry	ferry	n./v. 渡船；运送	ferry | n./v. 渡船；运送 | passenger ferry / ferry supplies | 客运渡船；运送物资
alter	family	alteration	alteration	n. 改变；修改	alteration | n. 改变；修改 | policy alteration | 政策改变
alter	family	altered	altered	adj. 被改变的	altered | adj. 被改变的 | altered pattern | 被改变的模式
alter	family	alterable	alterable	adj. 可改变的	alterable | adj. 可改变的 | alterable rule | 可改变规则
alter	kin	alternate	alternate	v./adj. 交替；替代的	alternate | v./adj. 交替；替代的 | alternate between tasks / alternate route | 在任务间交替；替代路线
alter	kin	alternative	alternative	n./adj. 替代方案；替代的	alternative | n./adj. 替代方案；替代的 | alternative energy / practical alternative | 替代能源；实际替代方案
alter	kin	altar	altar	n. 祭坛	altar | n. 祭坛 | church altar / wedding altar | 教堂祭坛；婚礼祭坛
transform	family	transformation	transformation	n. 转变	transformation | n. 转变 | digital transformation | 数字化转型
transform	family	transformative	transformative	adj. 变革性的	transformative | adj. 变革性的 | transformative reform | 变革性改革
transform	family	transformed	transformed	adj. 被改变的	transformed | adj. 被改变的 | transformed city | 被改造的城市
transform	kin	form	form	n./v. 形式；形成	form | n./v. 形式；形成 | social form / form a habit | 社会形式；形成习惯
transform	kin	reform	reform	n./v. 改革	reform | n./v. 改革 | education reform / reform the system | 教育改革；改革制度
transform	kin	formula	formula	n. 公式；方案	formula | n. 公式；方案 | mathematical formula / policy formula | 数学公式；政策方案
amalgamate	family	amalgamation	amalgamation	n. 合并	amalgamation | n. 合并 | corporate amalgamation | 公司合并
amalgamate	family	amalgamated	amalgamated	adj. 合并的	amalgamated | adj. 合并的 | amalgamated school | 合并后的学校
amalgamate	family	amalgam	amalgam	n. 混合物	amalgam | n. 混合物 | cultural amalgam | 文化混合体
amalgamate	kin	alloy	alloy	n. 合金	alloy | n. 合金 | metal alloy / aluminum alloy | 金属合金；铝合金
amalgamate	kin	amalgam	amalgam	n. 混合物；汞合金	amalgam | n. 混合物；汞合金 | cultural amalgam / dental amalgam | 文化混合体；牙科汞合金
amalgamate	kin	aggregate	aggregate	n./v. 总量；聚合	aggregate | n./v. 总量；聚合 | aggregate demand / aggregate data | 总需求；汇总数据
merge	family	merger	merger	n. 合并	merger | n. 合并 | corporate merger | 公司合并
merge	family	merged	merged	adj. 合并的	merged | adj. 合并的 | merged department | 合并部门
merge	family	merging	merging	n. 合并	merging | n. 合并 | merging schools | 合并学校
merge	kin	emerge	emerge	v. 出现	emerge | v. 出现 | new problems emerge / emerge from poverty | 新问题出现；摆脱贫困
merge	kin	submerge	submerge	v. 淹没；浸入	submerge | v. 淹没；浸入 | submerge samples / submerge coastal land | 浸入样本；淹没沿海土地
merge	kin	merger	merger	n. 合并	merger | n. 合并 | corporate merger / school merger | 公司合并；学校合并
ameliorate	family	amelioration	amelioration	n. 改善	amelioration | n. 改善 | amelioration of poverty | 贫困改善
ameliorate	family	ameliorative	ameliorative	adj. 改善性的	ameliorative | adj. 改善性的 | ameliorative policy | 改善性政策
ameliorate	family	ameliorated	ameliorated	adj. 被改善的	ameliorated | adj. 被改善的 | ameliorated condition | 改善后的状况
ameliorate	kin	meliorism	meliorism	n. 改善论	meliorism | n. 改善论 | social meliorism / educational meliorism | 社会改善论；教育改善论
ameliorate	kin	melody	melody	n. 旋律	melody | n. 旋律 | simple melody / folk melody | 简单旋律；民间旋律
ameliorate	kin	melancholy	melancholy	n./adj. 忧郁；忧郁的	melancholy | n./adj. 忧郁；忧郁的 | deep melancholy / melancholy mood | 深深忧郁；忧郁情绪
improve	family	improvement	improvement	n. 改善	improvement | n. 改善 | environmental improvement | 环境改善
improve	family	improved	improved	adj. 改善后的	improved | adj. 改善后的 | improved service | 改善后的服务
improve	family	improving	improving	adj. 正在改善的	improving | adj. 正在改善的 | improving condition | 改善中的状况
improve	kin	prove	prove	v. 证明	prove | v. 证明 | prove effective / prove a theory | 证明有效；证明理论
improve	kin	approve	approve	v. 批准；赞成	approve | v. 批准；赞成 | approve a plan / approve of reform | 批准计划；赞成改革
improve	kin	disprove	disprove	v. 反驳；证伪	disprove | v. 反驳；证伪 | disprove a claim / disprove a theory | 证伪说法；证伪理论
analyze	family	analysis	analysis	n. 分析	analysis | n. 分析 | data analysis | 数据分析
analyze	family	analytical	analytical	adj. 分析的	analytical | adj. 分析的 | analytical method | 分析方法
analyze	family	analyzed	analyzed	adj. 被分析的	analyzed | adj. 被分析的 | analyzed evidence | 被分析的证据
analyze	kin	lysis	lysis	n. 裂解；溶解	lysis | n. 裂解；溶解 | cell lysis / chemical lysis | 细胞裂解；化学裂解
analyze	kin	paralysis	paralysis	n. 瘫痪；停滞	paralysis | n. 瘫痪；停滞 | policy paralysis / muscle paralysis | 政策瘫痪；肌肉瘫痪
analyze	kin	catalyst	catalyst	n. 催化剂；推动因素	catalyst | n. 催化剂；推动因素 | chemical catalyst / catalyst for reform | 化学催化剂；改革催化剂
